,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,temp_planet_mass,planet_radius,orbital_radius,orbital_period,eccentricity,solar_system_name,pl_discmethod,pl_denserr2,st_tefferr1,st_tefferr2,st_masserr1,st_masslim,host_radius,st_raderr1,st_raderr2,rowupdate,pl_facility
1797,Kepler-1283 b,4736,4.31 Earths,15.07,2016,Super Earth,4.31 Earths,1.91 x Earth,Unknown,12.9 days,0,Kepler-1280,Transit,,121.69,-156.51,0.18,0,1.32,0.59,-0.2,10-05-2016,Kepler
1798,Kepler-1284 b,2779,1.92 Earths,15.662,2016,Super Earth,1.92 Earths,1.21 x Earth,Unknown,0.7 days,0,Kepler-1281,Transit,,86.5,-93.58,0.04,0,0.83,0.06,-0.05,10-05-2016,Kepler
1799,Kepler-1285 b,1187,0.871 Earths,11.65,2016,Terrestrial,0.871 Earths,0.97 x Earth,Unknown,14.8 days,0,Kepler-1282,Transit,,81.08,-78.7,0.04,0,0.89,0.11,-0.06,10-05-2016,Kepler
1800,Kepler-1286 b,3751,5.27 Earths,15.142,2016,Neptune-like,5.27 Earths,2.15 x Earth,Unknown,11.3 days,0,Kepler-1283,Transit,,183.18,-233.53,0.18,0,1.25,0.51,-0.2,10-05-2016,Kepler
1801,Kepler-1287 b,3350,2.99 Earths,15.007,2016,Super Earth,2.99 Earths,1.54 x Earth,Unknown,11.5 days,0,Kepler-1284,Transit,,62.8,-83.53,0.04,0,0.79,0.05,-0.04,10-05-2016,Kepler
1802,Kepler-1288 b,2332,1.46 Earths,13.177,2016,Super Earth,1.46 Earths,1.12 x Earth,Unknown,2.8 days,0,Kepler-1285,Transit,,67.21,-62.49,0.05,0,1.28,0.12,-0.09,10-05-2016,Kepler
1803,Kepler-1289 b,3454,2.92 Earths,14.599,2016,Super Earth,2.92 Earths,1.52 x Earth,Unknown,8 days,0,Kepler-1286,Transit,,74.56,-79.2,0.05,0,0.98,0.2,-0.07,10-05-2016,Kepler
1804,Kepler-128 b,1308,0.77 Earths,11.289,2013,Super Earth,0.77 Earths,1.43 x Earth,0.1264 AU,15.1 days,0,Kepler-1287,Transit,,93.97,-83.95,0.05,0,0.94,0.13,-0.07,10-05-2016,Kepler
1805,Kepler-128 c,1308,0.9 Earths,11.289,2013,Super Earth,0.9 Earths,1.34 x Earth,0.1664 AU,22.8 days,0,Kepler-1288,Transit,,87.95,-135.79,0.16,0,1.29,0.54,-0.17,10-05-2016,Kepler
1806,Kepler-1290 b,4309,2.6 Earths,15.691,2016,Super Earth,2.6 Earths,1.42 x Earth,Unknown,4.7 days,0,Kepler-1289,Transit,,245.65,-268.17,0.17,0,1.17,0.37,-0.18,10-05-2016,Kepler
1807,Kepler-1291 b,3203,3.39 Earths,15.883,2016,Super Earth,3.39 Earths,1.66 x Earth,Unknown,8.6 days,0,Kepler-129,Transit,,83,-83,,,1.64,0.05,-0.05,14-05-2014,Kepler
1808,Kepler-1292 b,4586,3.97 Earths,15.948,2016,Super Earth,3.97 Earths,1.82 x Earth,Unknown,3.3 days,0,Kepler-129,Transit,,83,-83,,,1.64,0.05,-0.05,14-05-2014,Kepler
1809,Kepler-1293 b,2512,0.871 Earths,13.3,2016,Terrestrial,0.871 Earths,0.97 x Earth,Unknown,5.6 days,0,Kepler-1290,Transit,,114.11,-108.37,0.05,0,0.93,0.13,-0.07,10-05-2016,Kepler
1810,Kepler-1294 b,3653,10.3 Earths,15.15,2016,Neptune-like,10.3 Earths,0.285 x Jupiter,Unknown,115.7 days,0,Kepler-1291,Transit,,81.36,-108.14,0.04,0,0.8,0.05,-0.05,10-05-2016,Kepler
1811,Kepler-1295 b,4100,3.02 Earths,15.908,2016,Super Earth,3.02 Earths,1.55 x Earth,Unknown,3.8 days,0,Kepler-1292,Transit,,63,-77.3,0.04,0,0.93,0.14,-0.06,10-05-2016,Kepler
1812,Kepler-1296 b,2058,0.693 Earths,14.627,2016,Terrestrial,0.693 Earths,0.91 x Earth,Unknown,8.4 days,0,Kepler-1293,Transit,,114.93,-99.8,0.18,0,1.28,0.55,-0.18,10-05-2016,Kepler
1813,Kepler-1297 b,3249,0.871 Earths,14.782,2016,Terrestrial,0.871 Earths,0.97 x Earth,Unknown,1.7 days,0,Kepler-1294,Transit,,152.5,-137.2,0.07,0,0.97,0.16,-0.09,10-05-2016,Kepler
1814,Kepler-1298 b,1624,2.27 Earths,11.313,2016,Super Earth,2.27 Earths,1.31 x Earth,Unknown,7.1 days,0,Kepler-1295,Transit,,70.55,-100.36,0.04,0,0.89,0.1,-0.06,10-05-2016,Kepler
1815,Kepler-1299 b,4410,9.17 Earths,15.9,2016,Neptune-like,9.17 Earths,0.266 x Jupiter,Unknown,19.9 days,0,Kepler-1296,Transit,,98.28,-120.32,0.04,0,0.83,0.07,-0.05,10-05-2016,Kepler
1816,Kepler-129 b,1349,6.21 Earths,11.644,2014,Neptune-like,6.21 Earths,0.211 x Jupiter,0.131 AU,15.8 days,0.01,Kepler-1297,Transit,,83.49,-92.17,0.06,0,0.99,0.16,-0.09,10-05-2016,Kepler
1817,Kepler-129 c,1349,7.04 Earths,11.644,2014,Neptune-like,7.04 Earths,0.227 x Jupiter,0.393 AU,82.2 days,0.2,Kepler-1298,Transit,,64.06,-65.86,0.12,0,2,0.34,-0.35,10-05-2016,Kepler
1818,Kepler-12 b,2950,0.432 Jupiters,13.8,2011,Gas Giant,0.432 Jupiters,1.754 x Jupiter,0.0553 AU,4.4 days,< 0.021,Kepler-1299,Transit,,92.88,-129.75,0.04,0,0.91,0.13,-0.06,10-05-2016,Kepler
1819,Kepler-1300 b,2469,2.45 Earths,12.768,2016,Super Earth,2.45 Earths,1.37 x Earth,Unknown,22.2 days,0,Kepler-130,Transit,,75,-75,,,1.13,0.03,-0.03,14-05-2014,Kepler
1820,Kepler-1301 b,2662,2.54 Earths,15.373,2016,Super Earth,2.54 Earths,1.4 x Earth,Unknown,9.1 days,0,Kepler-130,Transit,,75,-75,,,1.13,0.03,-0.03,14-05-2014,Kepler
1821,Kepler-1302 b,2371,2.63 Earths,15.039,2016,Super Earth,2.63 Earths,1.43 x Earth,Unknown,8.8 days,0,Kepler-130,Transit,,75,-75,,,1.13,0.03,-0.03,14-05-2014,Kepler
1822,Kepler-1303 b,2952,2.6 Earths,14.616,2016,Super Earth,2.6 Earths,1.42 x Earth,Unknown,7.6 days,0,Kepler-1300,Transit,,87.31,-108.91,0.16,0,1.79,0.38,-0.41,10-05-2016,Kepler
1823,Kepler-1304 b,2225,5.86 Earths,15.045,2016,Neptune-like,5.86 Earths,0.204 x Jupiter,Unknown,16.1 days,0,Kepler-1301,Transit,,55.6,-60.07,0.04,0,0.81,0.05,-0.04,10-05-2016,Kepler
1824,Kepler-1305 b,4381,4.19 Earths,15.714,2016,Super Earth,4.19 Earths,1.88 x Earth,Unknown,13.6 days,0,Kepler-1302,Transit,,58.55,-77.09,0.04,0,0.82,0.06,-0.04,10-05-2016,Kepler
1825,Kepler-1306 b,3686,4.31 Earths,15.212,2016,Super Earth,4.31 Earths,1.91 x Earth,Unknown,16.3 days,0,Kepler-1303,Transit,,85.68,-110.62,0.05,0,1,0.24,-0.09,10-05-2016,Kepler
1826,Kepler-1307 b,4554,6.66 Earths,15.38,2016,Neptune-like,6.66 Earths,0.22 x Jupiter,Unknown,18 days,0,Kepler-1304,Transit,,97.24,-121.88,0.04,0,0.81,0.05,-0.05,10-05-2016,Kepler
1827,Kepler-1308 b,238,0.0933 Earths,14.474,2016,Terrestrial,0.0933 Earths,0.52 x Earth,Unknown,2.1 days,0,Kepler-1305,Transit,,138.16,-175.79,0.06,0,0.96,0.17,-0.09,10-05-2016,Kepler
1828,Kepler-1309 b,2756,6.21 Earths,16.187,2016,Neptune-like,6.21 Earths,0.211 x Jupiter,Unknown,28.8 days,0,Kepler-1306,Transit,,140.59,-132.91,0.07,0,0.97,0.22,-0.09,10-05-2016,Kepler
1829,Kepler-130 b,1042,1.04 Earths,11.825,2014,Super Earth,1.04 Earths,1.02 x Earth,0.079 AU,8.5 days,0.15,Kepler-1307,Transit,,77.63,-103.16,0.07,0,1.08,0.29,-0.11,10-05-2016,Kepler
1830,Kepler-130 c,1042,8.75 Earths,11.825,2014,Neptune-like,8.75 Earths,0.259 x Jupiter,0.178 AU,27.5 days,0,Kepler-1308,Transit,,33.65,-30.71,0.04,0,0.34,0.03,-0.03,10-05-2016,Kepler
1831,Kepler-130 d,1042,3.33 Earths,11.825,2014,Super Earth,3.33 Earths,1.64 x Earth,0.377 AU,87.5 days,0.8,Kepler-1309,Transit,,99.72,-154.88,0.05,0,0.8,0.06,-0.05,10-05-2016,Kepler
1832,Kepler-1310 b,1902,2.67 Earths,14.122,2016,Super Earth,2.67 Earths,1.44 x Earth,Unknown,0.7 days,0,Kepler-131,Transit,-1.98,74,-74,0.06,0,1.03,0.1,-0.1,14-05-2014,Kepler
1833,Kepler-1311 b,2300,2.07 Earths,13.318,2016,Super Earth,2.07 Earths,1.24 x Earth,Unknown,11.2 days,0,Kepler-131,Transit,-55,74,-74,0.06,0,1.03,0.1,-0.1,14-05-2014,Kepler
1834,Kepler-1311 c,2300,1.98 Earths,13.318,2016,Super Earth,1.98 Earths,1.22 x Earth,Unknown,2.5 days,0,Kepler-1310,Transit,,136.6,-124.53,0.05,0,0.88,0.1,-0.07,10-05-2016,Kepler
1835,Kepler-1312 b,995,5.06 Earths,12.378,2016,Neptune-like,5.06 Earths,2.1 x Earth,Unknown,5.4 days,0,Kepler-1311,Transit,,87.26,-72.3,0.08,0,1.4,0.3,-0.3,10-05-2016,Kepler
1836,Kepler-1313 b,610,3.75 Earths,11.789,2016,Super Earth,3.75 Earths,1.76 x Earth,Unknown,3.8 days,0,Kepler-1311,Transit,,87.26,-72.3,0.08,0,1.4,0.3,-0.3,10-05-2016,Kepler
1837,Kepler-1314 b,1507,22.9 Earths,17.121,2016,Neptune-like,22.9 Earths,0.456 x Jupiter,Unknown,5.4 days,0,Kepler-1312,Transit,,71.88,-58.57,0.03,0,0.92,0.03,-0.03,10-05-2016,Kepler
1838,Kepler-1315 b,1647,2.48 Earths,14.952,2016,Super Earth,2.48 Earths,1.38 x Earth,Unknown,0.8 days,0,Kepler-1313,Transit,,82.15,-76.05,0.03,0,0.85,0.03,-0.03,10-05-2016,Kepler
1839,Kepler-1316 b,2456,12.3 Earths,13.951,2016,Neptune-like,12.3 Earths,0.316 x Jupiter,Unknown,88 days,0,Kepler-1314,Transit,,92.28,-113.71,0.02,0,0.59,0.02,-0.02,10-05-2016,Kepler
1840,Kepler-1317 b,2394,3.05 Earths,15.234,2016,Super Earth,3.05 Earths,1.56 x Earth,Unknown,0.6 days,0,Kepler-1315,Transit,,81.92,-112.47,0.03,0,0.75,0.03,-0.03,10-05-2016,Kepler
1841,Kepler-1318 b,1549,9.85 Earths,15.242,2016,Neptune-like,9.85 Earths,0.277 x Jupiter,Unknown,213.3 days,0,Kepler-1316,Transit,,97.8,-96.34,0.05,0,1.12,0.17,-0.12,10-05-2016,Kepler
1842,Kepler-1319 b,372,2.36 Earths,14.222,2016,Super Earth,2.36 Earths,1.34 x Earth,Unknown,2.9 days,0.33,Kepler-1317,Transit,,84.2,-69.2,0.04,0,0.79,0.04,-0.04,10-05-2016,Kepler
1843,Kepler-131 b,751,16.13 Earths,11.49,2014,Super Earth,16.13 Earths,0.215 x Jupiter,Unknown,16.1 days,0,Kepler-1318,Transit,,63.77,-51.73,0.03,0,0.7,0.02,-0.03,10-05-2016,Kepler
1844,Kepler-131 c,751,8.25 Earths,11.49,2014,Super Earth,8.25 Earths,0.84 x Earth,Unknown,25.5 days,0,Kepler-1319,Transit,,45.46,-50.09,0.01,0,0.54,0.02,-0.02,10-05-2016,Kepler
1845,Kepler-1320 b,2515,3.53 Earths,15.905,2016,Super Earth,3.53 Earths,1.7 x Earth,Unknown,0.9 days,0,Kepler-132,Transit,,146,-146,,,1.18,0.23,-0.23,14-05-2014,Kepler
1846,Kepler-1321 b,1784,21.5 Earths,16.928,2016,Neptune-like,21.5 Earths,0.439 x Jupiter,Unknown,11.1 days,0,Kepler-132,Transit,,146,-146,,,1.18,0.23,-0.23,14-05-2014,Kepler
1847,Kepler-1321 c,1784,6.35 Earths,16.928,2016,Neptune-like,6.35 Earths,0.214 x Jupiter,Unknown,2.2 days,0,Kepler-132,Transit,,146,-146,,,1.18,0.23,-0.23,14-05-2014,Kepler
1848,Kepler-1322 b,3970,3.22 Earths,15.775,2016,Super Earth,3.22 Earths,1.61 x Earth,Unknown,1 days,0,Kepler-132,Transit,,146,-146,,,1.18,0.23,-0.23,10-05-2016,Kepler
1849,Kepler-1323 b,1729,2.92 Earths,12.344,2016,Super Earth,2.92 Earths,1.52 x Earth,Unknown,0.9 days,0,Kepler-1320,Transit,,51.95,-67.43,0.03,0,0.74,0.03,-0.03,10-05-2016,Kepler
1850,Kepler-1324 b,1703,2.89 Earths,15.134,2016,Super Earth,2.89 Earths,1.51 x Earth,Unknown,4.1 days,0,Kepler-1321,Transit,,91.2,-86.13,0.07,0,0.53,0.06,-0.04,10-05-2016,Kepler
1851,Kepler-1325 b,3115,8.55 Earths,15.129,2016,Neptune-like,8.55 Earths,0.255 x Jupiter,Unknown,33.9 days,0,Kepler-1321,Transit,,91.2,-86.13,0.07,0,0.53,0.06,-0.04,10-05-2016,Kepler
1852,Kepler-1326 b,2968,16.3 Earths,12.741,2016,Neptune-like,16.3 Earths,0.373 x Jupiter,Unknown,42.4 days,0,Kepler-1322,Transit,,151.55,-103.39,0.05,0,0.87,0.11,-0.07,10-05-2016,Kepler
1853,Kepler-1327 b,2244,3.89 Earths,13.884,2016,Super Earth,3.89 Earths,1.8 x Earth,Unknown,14.9 days,0,Kepler-1323,Transit,,74.24,-59.83,0.11,0,1.4,0.3,-0.21,10-05-2016,Kepler
1854,Kepler-1328 b,2055,0.904 Earths,13.803,2016,Terrestrial,0.904 Earths,0.98 x Earth,Unknown,4.5 days,0,Kepler-1324,Transit,,54.15,-70.56,0.03,0,0.73,0.02,-0.03,10-05-2016,Kepler
1855,Kepler-1329 b,2035,5.35 Earths,15.85,2016,Neptune-like,5.35 Earths,2.17 x Earth,Unknown,9.3 days,0,Kepler-1325,Transit,,82.37,-93.24,0.04,0,0.91,0.13,-0.06,10-05-2016,Kepler
1856,Kepler-132 b,988,1.92 Earths,11.818,2014,Super Earth,1.92 Earths,1.21 x Earth,0.067 AU,6.2 days,0,Kepler-1326,Transit,,280.9,-196.41,0.21,0,1.74,0.63,-0.32,10-05-2016,Kepler
1857,Kepler-132 c,988,2.18 Earths,11.818,2014,Super Earth,2.18 Earths,1.28 x Earth,0.068 AU,6.4 days,0,Kepler-1327,Transit,,115.84,-121.67,0.07,0,1.03,0.25,-0.11,10-05-2016,Kepler
1858,Kepler-132 d,988,3.02 Earths,11.818,2014,Super Earth,3.02 Earths,1.55 x Earth,0.136 AU,18 days,0,Kepler-1328,Transit,,91.61,-90.02,0.06,0,0.99,0.2,-0.09,10-05-2016,Kepler
1859,Kepler-132 e,988,1.76 Earths,11.818,2016,Super Earth,1.76 Earths,1.18 x Earth,Unknown,110.3 days,0,Kepler-1329,Transit,,38.73,-38.83,0.02,0,0.69,0.02,-0.02,10-05-2016,Kepler
1860,Kepler-1330 b,3063,3.36 Earths,14.945,2016,Super Earth,3.36 Earths,1.65 x Earth,Unknown,10.1 days,0,Kepler-133,Transit,,100,-100,,,1.43,0.24,-0.24,14-05-2014,Kepler
1861,Kepler-1331 b,1191,1.16 Earths,15.032,2016,Super Earth,1.16 Earths,1.05 x Earth,Unknown,0.8 days,0,Kepler-133,Transit,,100,-100,,,1.43,0.24,-0.24,14-05-2014,Kepler
1862,Kepler-1332 b,1680,2.45 Earths,13.795,2016,Super Earth,2.45 Earths,1.37 x Earth,Unknown,11.9 days,0,Kepler-1330,Transit,,83,-112.79,0.05,0,0.94,0.23,-0.07,10-05-2016,Kepler
1863,Kepler-1333 b,3125,8.3 Earths,15.171,2016,Neptune-like,8.3 Earths,0.251 x Jupiter,Unknown,109.6 days,0,Kepler-1331,Transit,,243.21,-204.59,0.05,0,0.69,0.05,-0.04,10-05-2016,Kepler
1864,Kepler-1334 b,3415,5.86 Earths,15.171,2016,Neptune-like,5.86 Earths,0.204 x Jupiter,Unknown,15.6 days,0,Kepler-1332,Transit,,83.36,-69.91,0.03,0,0.9,0.04,-0.03,10-05-2016,Kepler
1865,Kepler-1335 b,2049,2.7 Earths,15.304,2016,Super Earth,2.7 Earths,1.45 x Earth,Unknown,6.3 days,0,Kepler-1333,Transit,,142.84,-162.16,0.06,0,0.92,0.13,-0.08,10-05-2016,Kepler
1866,Kepler-1336 b,2681,4.58 Earths,14.038,2016,Super Earth,4.58 Earths,1.98 x Earth,Unknown,23.2 days,0,Kepler-1334,Transit,,91.79,-87.5,0.04,0,0.91,0.12,-0.06,10-05-2016,Kepler
1867,Kepler-1336 c,2681,3.57 Earths,14.038,2016,Super Earth,3.57 Earths,1.71 x Earth,Unknown,5.8 days,0,Kepler-1335,Transit,,66.92,-62.59,0.04,0,0.74,0.03,-0.04,10-05-2016,Kepler
1868,Kepler-1337 b,1918,6.39 Earths,15.817,2016,Neptune-like,6.39 Earths,0.215 x Jupiter,Unknown,24.4 days,0,Kepler-1336,Transit,,86.32,-66.78,0.05,0,1.3,0.19,-0.26,10-05-2016,Kepler
1869,Kepler-1338 b,2019,0.721 Earths,13.574,2016,Terrestrial,0.721 Earths,0.92 x Earth,Unknown,0.9 days,0,Kepler-1336,Transit,,86.32,-66.78,0.05,0,1.3,0.19,-0.26,10-05-2016,Kepler
1870,Kepler-1339 b,871,0.285 Earths,12.123,2016,Terrestrial,0.285 Earths,0.71 x Earth,Unknown,1.3 days,0,Kepler-1337,Transit,,51.15,-50.38,0.04,0,0.67,0.03,-0.05,10-05-2016,Kepler
1871,Kepler-133 b,2170,3.75 Earths,12.841,2014,Super Earth,3.75 Earths,1.76 x Earth,0.083 AU,8.1 days,0,Kepler-1338,Transit,,114.45,-138.71,0.08,0,1.05,0.21,-0.11,10-05-2016,Kepler
1872,Kepler-133 c,2170,8.45 Earths,12.841,2014,Neptune-like,8.45 Earths,0.253 x Jupiter,0.204 AU,31.5 days,0,Kepler-1339,Transit,,51.01,-56.05,0.03,0,0.93,0.06,-0.05,10-05-2016,Kepler
1873,Kepler-1340 b,4635,3.02 Earths,14.755,2016,Super Earth,3.02 Earths,1.55 x Earth,Unknown,0.7 days,0,Kepler-134,Transit,,150,-150,,,1.18,0.23,-0.23,14-05-2014,Kepler
1874,Kepler-1341 b,1520,9.22 Earths,15.018,2016,Neptune-like,9.22 Earths,0.267 x Jupiter,Unknown,133 days,0,Kepler-134,Transit,,150,-150,,,1.18,0.23,-0.23,14-05-2014,Kepler
1875,Kepler-1342 b,3070,3.39 Earths,15.383,2016,Super Earth,3.39 Earths,1.66 x Earth,Unknown,2.2 days,0,Kepler-1340,Transit,,166.81,-219.14,0.2,0,1.42,0.64,-0.25,10-05-2016,Kepler
1876,Kepler-1343 b,4263,4.38 Earths,15.53,2016,Super Earth,4.38 Earths,1.93 x Earth,Unknown,3.4 days,0,Kepler-1341,Transit,,43.09,-46.26,0.02,0,0.72,0.02,-0.02,10-05-2016,Kepler
1877,Kepler-1344 b,2776,4.04 Earths,14.027,2016,Super Earth,4.04 Earths,1.84 x Earth,Unknown,4.8 days,0,Kepler-1342,Transit,,128.51,-178.84,0.05,0,0.9,0.11,-0.06,10-05-2016,Kepler
1878,Kepler-1345 b,3797,6.17 Earths,13.705,2016,Neptune-like,6.17 Earths,0.211 x Jupiter,Unknown,44.6 days,0,Kepler-1343,Transit,,107.08,-75.84,0.06,0,0.93,0.11,-0.08,10-05-2016,Kepler
1879,Kepler-1346 b,3663,3.12 Earths,14.462,2016,Super Earth,3.12 Earths,1.58 x Earth,Unknown,3.4 days,0,Kepler-1344,Transit,,78.95,-91.31,0.09,0,1.13,0.31,-0.12,10-05-2016,Kepler
1880,Kepler-1347 b,1047,1.08 Earths,13.412,2016,Super Earth,1.08 Earths,1.03 x Earth,Unknown,14 days,0,Kepler-1345,Transit,,123.48,-141.28,0.22,0,1.55,0.69,-0.3,10-05-2016,Kepler
1881,Kepler-1348 b,3370,4.42 Earths,14.679,2016,Super Earth,4.42 Earths,1.94 x Earth,Unknown,27.6 days,0,Kepler-1346,Transit,,118.39,-160.7,0.15,0,1.21,0.43,-0.15,10-05-2016,Kepler
1882,Kepler-1349 b,848,0.271 Earths,11.082,2016,Terrestrial,0.271 Earths,0.7 x Earth,Unknown,2.1 days,0,Kepler-1347,Transit,,74.46,-55.99,0.04,0,0.79,0.03,-0.03,10-05-2016,Kepler
1883,Kepler-134 b,1103,4.66 Earths,12.222,2014,Super Earth,4.66 Earths,2.0 x Earth,0.06 AU,5.3 days,0,Kepler-1348,Transit,,102.08,-101.96,0.07,0,1.04,0.23,-0.1,10-05-2016,Kepler
1884,Kepler-134 c,1103,2.13 Earths,12.222,2014,Super Earth,2.13 Earths,1.26 x Earth,0.092 AU,10.1 days,0,Kepler-1349,Transit,,98.49,-194.89,0.41,0,1.28,1.15,-0.19,10-05-2016,Kepler
1885,Kepler-1350 b,1142,6.9 Earths,16.233,2016,Neptune-like,6.9 Earths,0.225 x Jupiter,Unknown,4.5 days,0,Kepler-135,Transit,,120,-120,,,1.27,0.24,-0.24,14-05-2014,Kepler
1886,Kepler-1350 c,1142,3.64 Earths,16.233,2016,Super Earth,3.64 Earths,1.73 x Earth,Unknown,1.8 days,0,Kepler-135,Transit,,120,-120,,,1.27,0.24,-0.24,14-05-2014,Kepler
1887,Kepler-1351 b,786,0.208 Earths,14.087,2016,Terrestrial,0.208 Earths,0.65 x Earth,Unknown,0.9 days,0,Kepler-1350,Transit,,45.42,-59.63,0.03,0,0.53,0.03,-0.05,10-05-2016,Kepler
1888,Kepler-1352 b,2078,0.64 Earths,13.25,2016,Terrestrial,0.64 Earths,0.89 x Earth,Unknown,1.9 days,0,Kepler-1350,Transit,,45.42,-59.63,0.03,0,0.53,0.03,-0.05,10-05-2016,Kepler
1889,Kepler-1353 b,1944,3.89 Earths,15.506,2016,Super Earth,3.89 Earths,1.8 x Earth,Unknown,24.8 days,0,Kepler-1351,Transit,,82.58,-77.72,0.03,0,0.67,0.03,-0.04,10-05-2016,Kepler
1890,Kepler-1354 b,3448,9.11 Earths,14.369,2016,Neptune-like,9.11 Earths,0.265 x Jupiter,Unknown,76.6 days,0,Kepler-1352,Transit,,107.49,-116.34,0.11,0,1.16,0.33,-0.14,10-05-2016,Kepler
1891,Kepler-1355 b,3141,2.73 Earths,15.452,2016,Super Earth,2.73 Earths,1.46 x Earth,Unknown,1.3 days,0,Kepler-1353,Transit,,158.62,-111.78,0.04,0,0.72,0.04,-0.04,10-05-2016,Kepler
1892,Kepler-1356 b,2874,2.96 Earths,15.72,2016,Super Earth,2.96 Earths,1.53 x Earth,Unknown,0.6 days,0,Kepler-1354,Transit,,136.72,-202.44,0.16,0,1.24,0.49,-0.19,10-05-2016,Kepler
1893,Kepler-1357 b,3347,2.18 Earths,15.22,2016,Super Earth,2.18 Earths,1.28 x Earth,Unknown,3 days,0,Kepler-1355,Transit,,68.59,-62.37,0.04,0,0.83,0.06,-0.04,10-05-2016,Kepler
1894,Kepler-1358 b,1820,1.46 Earths,14.54,2016,Super Earth,1.46 Earths,1.12 x Earth,Unknown,7.1 days,0,Kepler-1356,Transit,,65.11,-84.13,0.04,0,0.78,0.04,-0.04,10-05-2016,Kepler
1895,Kepler-1359 b,2182,8.4 Earths,15.753,2016,Neptune-like,8.4 Earths,0.252 x Jupiter,Unknown,59.5 days,0,Kepler-1357,Transit,,92.01,-91.12,0.05,0,0.9,0.13,-0.07,10-05-2016,Kepler
1896,Kepler-135 b,2065,3.93 Earths,12.679,2014,Super Earth,3.93 Earths,1.81 x Earth,0.067 AU,6 days,0,Kepler-1358,Transit,,58.32,-55.42,0.04,0,0.79,0.04,-0.05,10-05-2016,Kepler
1897,Kepler-135 c,2065,1.65 Earths,12.679,2014,Super Earth,1.65 Earths,1.16 x Earth,0.103 AU,11.4 days,0,Kepler-1359,Transit,,46.37,-55.6,0.03,0,0.72,0.02,-0.02,10-05-2016,Kepler
1898,Kepler-1360 b,4583,11.5 Earths,13.88,2016,Neptune-like,11.5 Earths,0.303 x Jupiter,Unknown,40.5 days,0,Kepler-136,Transit,,100,-100,,,1.35,0.25,-0.25,14-05-2014,Kepler
1899,Kepler-1361 b,1318,0.566 Earths,13.917,2016,Terrestrial,0.566 Earths,0.86 x Earth,Unknown,3.6 days,0,Kepler-136,Transit,,100,-100,,,1.35,0.25,-0.25,14-05-2014,Kepler
1900,Kepler-1362 b,2502,7.27 Earths,15.825,2016,Neptune-like,7.27 Earths,0.232 x Jupiter,Unknown,136.2 days,0,Kepler-1360,Transit,,324.31,-343.47,0.23,0,1.83,0.63,-0.41,10-05-2016,Kepler
1901,Kepler-1363 b,1823,2.1 Earths,15.292,2016,Super Earth,2.1 Earths,1.25 x Earth,Unknown,2.9 days,0,Kepler-1361,Transit,,55.23,-57.72,0.04,0,0.79,0.04,-0.04,10-05-2016,Kepler
1902,Kepler-1364 b,3748,5.27 Earths,13.186,2016,Neptune-like,5.27 Earths,2.15 x Earth,Unknown,13.3 days,0,Kepler-1362,Transit,,51.17,-72.62,0.03,0,0.74,0.03,-0.03,10-05-2016,Kepler
1903,Kepler-1365 b,1765,0.721 Earths,13.38,2016,Terrestrial,0.721 Earths,0.92 x Earth,Unknown,7.7 days,0,Kepler-1363,Transit,,102.94,-109.75,0.04,0,0.72,0.04,-0.04,10-05-2016,Kepler
1904,Kepler-1365 c,1765,0.437 Earths,13.38,2016,Terrestrial,0.437 Earths,0.8 x Earth,Unknown,4.8 days,0,Kepler-1364,Transit,,136.21,-160.28,0.21,0,1.79,0.62,-0.31,10-05-2016,Kepler
1905,Kepler-1366 b,1288,2.63 Earths,15.889,2016,Super Earth,2.63 Earths,1.43 x Earth,Unknown,2.2 days,0,Kepler-1365,Transit,,86.4,-88.36,0.04,0,1.05,0.15,-0.1,10-05-2016,Kepler
1906,Kepler-1367 b,1165,0.721 Earths,15.558,2016,Terrestrial,0.721 Earths,0.92 x Earth,Unknown,1.6 days,0,Kepler-1365,Transit,,86.4,-88.36,0.04,0,1.05,0.15,-0.1,10-05-2016,Kepler
1907,Kepler-1368 b,5709,3.36 Earths,15.873,2016,Super Earth,3.36 Earths,1.65 x Earth,Unknown,0.7 days,0,Kepler-1366,Transit,,63,-54.22,0.03,0,0.6,0.03,-0.04,10-05-2016,Kepler
1908,Kepler-1369 b,4032,7.7 Earths,15.35,2016,Neptune-like,7.7 Earths,0.24 x Jupiter,Unknown,25.9 days,0,Kepler-1367,Transit,,55.83,-57.12,0.03,0,0.6,0.03,-0.05,10-05-2016,Kepler
1909,Kepler-136 b,1389,19.8 Earths,11.754,2014,Super Earth,19.8 Earths,2.05 x Earth,0.106 AU,11.6 days,0,Kepler-1368,Transit,,120.57,-160.03,0.08,0,1.08,0.22,-0.11,10-05-2016,Kepler
1910,Kepler-136 c,1389,4.62 Earths,11.754,2014,Super Earth,4.62 Earths,1.99 x Earth,0.133 AU,16.4 days,0,Kepler-1369,Transit,,132.7,-110.01,0.06,0,0.99,0.15,-0.08,10-05-2016,Kepler
1911,Kepler-1370 b,2864,4.04 Earths,13.674,2016,Super Earth,4.04 Earths,1.84 x Earth,Unknown,20.3 days,0,Kepler-137,Transit,,100,-100,,,0.8,0.06,-0.06,14-05-2014,Kepler
